SRR,SampleName
SRR1564826,SRS694107
SRR1564827,SRS694110
SRR1972974,SRS908484
SRR1972975,SRS908483
SRR1972976,SRS908478
SRR1564828,SRS694109
SRR1564829,SRS694111
SRR1564830,SRS694112
SRR1564831,SRS694113
SRR1564832,SRS694114
SRR1564833,SRS694115
SRR1564834,SRS694116
SRR1564835,SRS694117
SRR1564836,SRS694118
SRR1564837,SRS694119
